BencFunc,MeanMin,STD,CMFunc
Rastrigin  ,16.4665,4.7385,GaussMap-GaussMap
Griewank   ,0.057719,0.047447,Sinusoidal-Sinusoidal
Rosenbrock ,8.9649,4.9093,Sinus-Sinus
Fletcher   ,5667.8885,4776.5465,Tent-Tent
Quartic    ,6.02E-11,2.69E-10,Sinusoidal-Sinusoidal
Griewank   ,0.090225,0.041269,Tent-Tent
Rosenbrock ,6.8753,2.0486,GaussMap-GaussMap
Schwefel226,1133.4008,249.9315,Sinus-Sinus
Quartic    ,2.85E-14,1.27E-13,Tent-Tent
Rastrigin  ,18.8544,6.9869,Sinusoidal-Sinusoidal
Sphere     ,3.99E-13,1.53E-12,Sinus-Sinus
Schwefel226,1247.7578,248.5967,GaussMap-GaussMap
Rastrigin  ,21.1428,6.4873,Tent-Tent
Step       ,3,1.4142,Sinus-Sinus
Sphere     ,4.13E-14,4.63E-14,GaussMap-GaussMap
Rosenbrock ,10.8314,13.157,Sinusoidal-Sinusoidal
Ackley     ,1.3755,1.0764,CMFoCSA
Rosenbrock ,12.0991,15.9164,Tent-Tent
Step       ,1.4,0.99472,GaussMap-GaussMap
Schwefel226,1051.1847,301.1783,Sinusoidal-Sinusoidal
Fletcher   ,3555.7037,3951.8889,CMFoCSA
Schwefel226,872.2484,210.9631,Tent-Tent
Sphere     ,6.37E-07,2.85E-06,Sinusoidal-Sinusoidal
Sphere     ,2.14E-10,9.54E-10,Tent-Tent
Griewank   ,0.063426,0.033248,CMFoCSA
Step       ,2.6,1.6026,Sinusoidal-Sinusoidal
Step       ,4.5,3.3007,Tent-Tent
Quartic    ,1.03E-10,3.42E-10,CMFoCSA
Rastrigin  ,17.8595,6.346,CMFoCSA
Rosenbrock ,14.4085,17.8727,CMFoCSA
Schwefel226,1187.4439,226.9006,CMFoCSA
Sphere     ,1.07E-12,4.50E-12,CMFoCSA
Step       ,2.8,1.3219,CMFoCSA
